time_start;time_detect;time_end;plate_num;is_vehicle
00:05.14;00:06.01;00:06.09;H741C###;1
00:12.00;00:13.13;00:23.17;M111CO##;1
00:32.09;00:33.12;00:33.15;A295KT##;1
00:40.13;00:41.12;00:48.22;P069XO73;1
00:56.19;00:58.00;00:58.18;H800KP73;1
01:05.07;01:07.00;01:15.15;T455C#73;1
01:22.19;01:24.09;01:38.12;T404PB73;1
01:45.23;01:47.23;01:49.24;H175XH73;1
02:09.14;02:10.00;02:22.24;H175XH73;1
02:40.00;02:40.14;02:40.01;E229KT73;1
02:47.13;02:48.14;02:55.12;T971EE73;1
03:03.06;03:04.05;03:12.06;A358CM73;1
03:20.08;03:21.15;03:26.17;M884HC73;1
03:36.03;03:37.11;03:38.14;T455CK73;1
